compound_id	smiles	chem_name	mw
1	COC(=O)C1=C(C)N(c2ccc3c(c2)OCCO3)C(=S)NC1c1ccc(C)cc1C	methyl 1-(2,3-dihydro-1,4-benzodioxin-6-yl)-4-(2,4-dimethylphenyl)-6-methyl-2-sulfanylidene-1,2,3,4-tetrahydropyrimidine-5-carboxylate	424.51
2	CCCOc1ccc(C2NC(=S)N(c3ccc(OC)cc3)C(C)=C2C(=O)OC)cc1OC		
3	CCOC(=O)c1c(NC(=O)C2=C(C)N(c3ccccc3)C(=S)NC2c2c(F)cccc2Cl)sc(C)c1C	ethyl 2-[4-(2-chloro-6-fluorophenyl)-6-methyl-1-phenyl-2-sulfanylidene-1,2,3,4-tetrahydropyrimidine-5-amido]-4,5-dimethylthiophene-3-carboxylate	558.09
4	CC1=C(C(=O)N(C)C)C(c2ccc(F)cc2)NC(=S)N1		
5	CCOC(=O)C1=C(C)N(c2cccc(C(F)(F)F)c2)C(=S)NC1c1ccc(C#N)cc1	ethyl 4-(4-cyanophenyl)-6-methyl-2-sulfanylidene-1-[3-(trifluoromethyl)phenyl]-1,2,3,4-tetrahydropyrimidine-5-carboxylate	445.46
6	CCOC(=O)C1=C(C)NC(=S)NC1c1ccccc1F		
7	COC(=O)C1=C(C)N(c2ccc(C)c(C)c2)C(=S)NC1c1cccc(OC)c1OC		
8	COc1cccc(N2C(=S)NC(c3c(F)cccc3F)C(C(=O)N3CCOCC3)=C2C)c1		
9	CCOC(=O)C1=C(C)N(c2ccc(OC)cc2)C(=S)NC1c1ccc(OCc2cccnc2)cc1	ethyl 1-(4-methoxyphenyl)-6-methyl-4-{4-[(pyridin-3-yl)methoxy]phenyl}-2-sulfanylidene-1,2,3,4-tetrahydropyrimidine-5-carboxylate	489.59
10	CCCOc1ccc(C2NC(=S)NC(C)=C2C(=O)OCC)cc1OC		
11	COc1ccccc1N1C(=S)NC(c2cccc(OCc3ccccn3)c2)C(C(=O)N(C)C)=C1C		
12	COCCN1C(=S)NC(c2cccc(Br)c2)C(C(=O)Nc2cc(C)on2)=C1C	4-(3-bromophenyl)-1-(2-methoxyethyl)-6-methyl-N-(5-methyl-1,2-oxazol-3-yl)-2-sulfanylidene-1,2,3,4-tetrahydropyrimidine-5-carboxamide	465.37
13	COC(=O)C1=C(C)N(c2ccc(OC)cc2)C(=S)NC1c1cccc2cccnc12		
14	COC(=O)C1=C(C)NC(=O)NC1c1ccc(OC(F)F)cc1	methyl 4-[4-(difluoromethoxy)phenyl]-6-methyl-2-oxo-1,2,3,4-tetrahydropyrimidine-5-carboxylate	312.27
