,Product_SMILES,Product_mass,Outcome,Use_of_LCMS,Yield,Reagent_1_SMILES,Reagent_2_SMILES,Reagent_3_SMILES,Reagent_4_SMILES
0,CC(=O)C1=C(NC(=O)NC1c2ccc(C#N)cc2)c3ccc(Cl)cc3,0.9,1,N,48.11,NC(=O)N,O=Cc1ccc(C#N)cc1,CC(=O)CC(=O)c1ccc(Cl)cc1,C[Si](C)(C)Cl
1,CC(=O)C1=C(NC(=S)NC1c2c(F)cccc2F)c3ccccc3,0.6,0,N,0.0,NC(=S)N,Fc1cccc(F)c1C=O,CC(=O)CC(=O)c1ccccc1,C[Si](C)(C)Cl
2,CC(=O)C1=C(NC(=S)NC1c2ccc(Cl)cc2)c3ccc(F)cc3,0.6,1,N,37.5,NC(=S)N,Clc1ccc(C=O)cc1,CC(=O)CC(=O)c1ccc(F)cc1,C[Si](C)(C)Cl
3,CC(=O)C1=C(NC(=S)NC1c2ccc(F)cc2)c3ccccc3,0.6,0,N,0.0,NC(=S)N,Fc1ccc(C=O)cc1,CC(=O)CC(=O)c1ccccc1,C[Si](C)(C)Cl
4,CC(=O)C1=C(NC(=S)NC1c2ccccc2)c3ccc(C)cc3,0.6,1,N,0.0,NC(=S)N,O=Cc1ccccc1,CC(=O)CC(=O)c1ccc(C)cc1,C[Si](C)(C)Cl
5,CC(=O)C1=C(NC(=S)NC1c2ccccc2Cl)c3ccc(F)cc3,0.6,0,N,0.0,NC(=S)N,Clc1ccccc1C=O,CC(=O)CC(=O)c1ccc(F)cc1,C[Si](C)(C)Cl
6,CC(=O)Nc1ccc(cc1)C2NC(=O)NC(=C2C(=O)N3CCOCC3)C,0.6,0,N,0.0,NC(=O)N,CC(=O)Nc1ccc(C=O)cc1,CC(=O)CC(=O)N1CCOCC1,
7,CC(=O)Nc1ccc(cc1)C2NC(=S)N(C(=C2C(=O)N3CCOCC3)C)c4ccccc4C(F)(F)F,0.6,1,N,13.17,NC(=S)Nc1ccccc1C(F)(F)F,CC(=O)Nc1ccc(C=O)cc1,CC(=O)CC(=O)N1CCOCC1,
8,CC(=O)Nc1ccc(cc1)C2NC(=S)N(C(=C2C(=O)Nc3cc(C)on3)C)c4ccc(F)cc4,0.6,0,N,0.0,NC(=S)Nc1ccc(F)cc1,CC(=O)Nc1ccc(C=O)cc1,CC(=O)CC(=O)Nc1cc(C)on1,C[Si](C)(C)Cl
9,CC(=O)c1ccc(cc1)c2ccc(o2)C3NC(=S)NC(=C3C(=O)Nc4ccc(F)cc4)C,0.6,1,N,39.17,NC(=S)N,CC(=O)c1ccc(cc1)c2ccc(C=O)o2,CC(=O)CC(=O)Nc1ccc(F)cc1,
10,CC(=O)c1ccc(cc1)c2ccc(o2)C3NC(=S)NC(=C3C(=O)OCc4ccccc4)C,0.6,0,N,0.0,NC(=S)N,CC(=O)c1ccc(cc1)c2ccc(C=O)o2,CC(=O)CC(=O)OCc1ccccc1,
11,CC(=O)c1ccc(cc1)c2ccc(o2)C3NC(=S)NC(=C3C(=O)c4ccccc4)C,0.6,0,N,0.0,NC(=S)N,CC(=O)c1ccc(cc1)c2ccc(C=O)o2,CC(=O)CC(=O)c1ccccc1,
12,CC(C)CCN1C(=C(C(NC1=O)c2ccccc2C(F)(F)F)C(=O)N3CCOCC3)C,0.6,1,N,30.5,CC(C)CCNC(=O)N,FC(F)(F)c1ccccc1C=O,CC(=O)CC(=O)N1CCOCC1,C[Si](C)(C)Cl
13,CC(C)CCN1C(=C(C(NC1=O)c2ccccc2Cl)C(=O)N3CCOCC3)C,0.6,0,N,0.0,CC(C)CCNC(=O)N,Clc1ccccc1C=O,CC(=O)CC(=O)N1CCOCC1,C[Si](C)(C)Cl
14,CC(C)CCN1C(=C(C(NC1=O)c2ccccc2F)C(=O)N3CCOCC3)C,0.5,1,N,25.0,CC(C)CCNC(=O)N,Fc1ccccc1C=O,CC(=O)CC(=O)N1CCOCC1,C[Si](C)(C)Cl
15,CC(C)CCN1C(=C(C(NC1=O)c2ccccc2F)C(=O)N3CCOCC3)C,0.6,1,N,50.0,CC(C)CCNC(=O)N,Fc1ccccc1C=O,CC(=O)CC(=O)N1CCOCC1,C[Si](C)(C)Cl
16,CC(C)CCN1C(=C(C(NC1=S)c2ccc(F)cc2)C(=O)N3CCOCC3)C,0.6,0,N,0.0,CC(C)CCNC(=S)N,Fc1ccc(C=O)cc1,CC(=O)CC(=O)N1CCOCC1,C[Si](C)(C)Cl
17,CC(C)CN1C(=C(C(NC1=O)c2ccc(Cl)cc2)C(=O)N3CCOCC3)C,0.6,0,N,0.0,CC(C)CNC(=O)N,Clc1ccc(C=O)cc1,CC(=O)CC(=O)N1CCOCC1,C[Si](C)(C)Cl
18,CC(C)CN1C(=C(C(NC1=O)c2cccc(Br)c2)C(=O)Nc3cc(C)on3)C,0.6,0,N,0.0,CC(C)CNC(=O)N,Brc1cccc(C=O)c1,CC(=O)CC(=O)Nc1cc(C)on1,C[Si](C)(C)Cl
19,CC(C)CN1C(=C(C(NC1=O)c2cccc(Br)c2)C(=O)Nc3cc(C)on3)C,0.6,0,N,0.0,CC(C)CNC(=O)N,Brc1cccc(C=O)c1,CC(=O)CC(=O)Nc1cc(C)on1,C[Si](C)(C)Cl
20,CC(C)CN1C(=C(C(NC1=O)c2cccc(F)c2)C(=O)Nc3cc(C)on3)C,0.6,0,N,0.0,CC(C)CNC(=O)N,Fc1cccc(C=O)c1,CC(=O)CC(=O)Nc1cc(C)on1,C[Si](C)(C)Cl
21,CC(C)CN1C(=C(C(NC1=O)c2ccccc2C(F)(F)F)C(=O)N3CCOCC3)C,0.6,0,N,0.0,CC(C)CNC(=O)N,FC(F)(F)c1ccccc1C=O,CC(=O)CC(=O)N1CCOCC1,C[Si](C)(C)Cl
22,CC(C)CN1C(=C(C(NC1=O)c2ccccc2Cl)C(=O)N3CCOCC3)C,0.6,0,N,0.0,CC(C)CNC(=O)N,Clc1ccccc1C=O,CC(=O)CC(=O)N1CCOCC1,C[Si](C)(C)Cl
23,CC(C)CN1C(=C(C(NC1=S)c2ccc(OCc3cccnc3)cc2)C(=O)Nc4cc(C)on4)C,0.6,0,N,0.0,CC(C)CNC(=S)N,O=Cc1ccc(OCc2cccnc2)cc1,CC(=O)CC(=O)Nc1cc(C)on1,C[Si](C)(C)Cl
24,CC(C)CN1C(=C(C(NC1=S)c2ccc(cc2)[N+](=O)[O-])C(=O)Nc3cc(C)on3)C,0.6,0,N,0.0,CC(C)CNC(=S)N,[O-][N+](=O)c1ccc(C=O)cc1,CC(=O)CC(=O)Nc1cc(C)on1,C[Si](C)(C)Cl
25,CC(C)CN1C(=C(C(NC1=S)c2ccc(cc2)[N+](=O)[O-])C(=O)Nc3cc(C)on3)C,0.6,1,N,14.5,CC(C)CNC(=S)N,[O-][N+](=O)c1ccc(C=O)cc1,CC(=O)CC(=O)Nc1cc(C)on1,C[Si](C)(C)Cl
26,CC(C)CN1C(=C(C(NC1=S)c2cccc(C#N)c2)C(=O)Nc3cc(C)on3)C,0.6,1,N,29.17,CC(C)CNC(=S)N,O=Cc1cccc(C#N)c1,CC(=O)CC(=O)Nc1cc(C)on1,C[Si](C)(C)Cl
27,CC(C)CN1C(=C(C(NC1=S)c2cccc(F)c2)C(=O)Nc3cc(C)on3)C,0.6,1,N,20.83,CC(C)CNC(=S)N,Fc1cccc(C=O)c1,CC(=O)CC(=O)Nc1cc(C)on1,C[Si](C)(C)Cl
28,CC(C)CN1C(=C(C(NC1=S)c2ccccc2)C(=O)Nc3cc(C)on3)C,0.6,1,N,8.33,CC(C)CNC(=S)N,O=Cc1ccccc1,CC(=O)CC(=O)Nc1cc(C)on1,C[Si](C)(C)Cl
29,CC(C)CN1C(=C(C(NC1=S)c2ccccc2)C(=O)Nc3cc(C)on3)C,0.6,1,N,11.67,CC(C)CNC(=S)N,O=Cc1ccccc1,CC(=O)CC(=O)Nc1cc(C)on1,C[Si](C)(C)Cl
